PartNumber,Name,EnrichedFields
KL4069IA1XXS,Kaspersky Next EDR Expert Middle East Edition. 2500-4999 User 5 year Base License,"shortDescription, features, specs, faq, whyBuy, category, tags, seoKeywords, prerequisites, related, productRule/scope, categoryRule"
KL4066IARRS,Kaspersky Next EDR Optimum 100-149 User 4 year Base License,"shortDescription, features, specs, faq, whyBuy, category, tags, seoKeywords, prerequisites, related, productRule/scope, categoryRule"
KL4065IAVTS,Kaspersky Next XDR Foundations 1000-1499 User 3 year Base License,"shortDescription, features, specs, faq, whyBuy, category, tags, seoKeywords, prerequisites, related, productRule/scope, categoryRule"
KL4069IA1YTS,Kaspersky Next EDR Expert Middle East Edition. 5000+ User 3 year Base License,"shortDescription, features, specs, faq, whyBuy, category, tags, seoKeywords, prerequisites, related, productRule/scope, categoryRule"
KL4066IASFS,Kaspersky Next EDR Optimum 150-249 User 1 year Base License,"shortDescription, features, specs, faq, whyBuy, category, tags, seoKeywords, prerequisites, related, productRule/scope, categoryRule"
KL4066IATXS,Kaspersky Next EDR Optimum 250-499 User 5 year Base License,"shortDescription, features, specs, faq, whyBuy, category, tags, seoKeywords, prerequisites, related, productRule/scope, categoryRule"
KL4066IAURS,Kaspersky Next EDR Optimum 500-999 User 4 year Base License,"shortDescription, features, specs, faq, whyBuy, category, tags, seoKeywords, prerequisites, related, productRule/scope, categoryRule"
KL4069IA1WTS,Kaspersky Next EDR Expert Middle East Edition. 1500-2499 User 3 year Base License,"shortDescription, features, specs, faq, whyBuy, category, tags, seoKeywords, prerequisites, related, productRule/scope, categoryRule"
KL4066IAQDB,Kaspersky Next EDR Optimum 50-99 User 2 year Base License,"shortDescription, features, specs, faq, whyBuy, category, tags, seoKeywords, prerequisites, related, productRule/scope, categoryRule"
KL4066IASTS,Kaspersky Next EDR Optimum 150-249 User 3 year Base License,"shortDescription, features, specs, faq, whyBuy, category, tags, seoKeywords, prerequisites, related, productRule/scope, categoryRule"
KL4066IAUTS,Kaspersky Next EDR Optimum 500-999 User 3 year Base License,"shortDescription, features, specs, faq, whyBuy, category, tags, seoKeywords, prerequisites, related, productRule/scope, categoryRule"
KL4066IAWXS,Kaspersky Next EDR Optimum 1500-2499 User 5 year Base License,"shortDescription, features, specs, faq, whyBuy, category, tags, seoKeywords, prerequisites, related, productRule/scope, categoryRule"
KL4066IAUDB,Kaspersky Next EDR Optimum 500-999 User 2 year Base License,"shortDescription, features, specs, faq, whyBuy, category, tags, seoKeywords, prerequisites, related, productRule/scope, categoryRule"
KL4065IAWFS,Kaspersky Next XDR Foundations 1500-2499 User 1 year Base License,"shortDescription, features, specs, faq, whyBuy, category, tags, seoKeywords, prerequisites, related, productRule/scope, categoryRule"
KL4065IAYFS,Kaspersky Next XDR Foundations 5000+ User 1 year Base License,"shortDescription, features, specs, faq, whyBuy, category, tags, seoKeywords, prerequisites, related, productRule/scope, categoryRule"
KL4056IAVTS,Kaspersky Next XDR Core 1000-1499 User 3 year Base License,"shortDescription, features, specs, faq, whyBuy, category, tags, seoKeywords, prerequisites, related, productRule/scope, categoryRule"
KL4066IAVRS,Kaspersky Next EDR Optimum 1000-1499 User 4 year Base License,"shortDescription, features, specs, faq, whyBuy, category, tags, seoKeywords, prerequisites, related, productRule/scope, categoryRule"
KL4054IAYFS,Kaspersky Next XDR Expert 5000+ User 1 year Base License,"shortDescription, features, specs, faq, whyBuy, category, tags, seoKeywords, prerequisites, related, productRule/scope, categoryRule"
KL4054IAUDS,Kaspersky Next XDR Expert 500-999 User 2 year Base License,"shortDescription, features, specs, faq, whyBuy, category, tags, seoKeywords, prerequisites, related, productRule/scope, categoryRule"
